UID,growth_stage,label_quality
AZq5gsWc,7,1
TNI0MlLv,3,2
uKscvfj3,1,1
0NqDk2HB,2,1
DFiQOY7l,1,1
C3wEJryI,3,2
cQDoC5iT,4,1
NYxnjt9w,4,1
jnHFDalt,3,2
raOK3RP0,7,1
ZOYlBgnz,1,1
sz9rtcRj,1,1
eFpHr7WX,1,1
pLRvFXDg,4,2
Pqezyf4V,7,1
mPhO7NvR,1,1
iA5Bocj2,6,1
3rnI2UuJ,7,2
Hl59WUj2,1,1
rvxZO3th,1,1
nkUiYWo3,1,1
H6eud9z0,1,1
7seENgxP,7,2
AcShiUmq,6,1
yxzWg0ul,1,1
PsuRmbLo,4,2
OikQMKPz,2,1
uhptFJb2,5,1
DcQuACXF,7,2
1K3mqMJz,7,1
5ApfhJrD,4,2
PEJsMpI6,5,2
DLARVpkJ,2,2
v7o1u6Ea,7,1
4QrVZLlq,7,1
6sFZjqHN,5,2
wVWxhp2T,6,1
MmkZIuoK,1,1
j8pwh2H3,1,1
wYCiHh2M,7,1
FLz41Wi7,7,1
Mdtxrlb6,1,1
HzRIAwkS,2,1
F8JtQbys,7,2
HfylTznJ,4,1
WTtOrPpS,7,2
PmU5KaSw,7,1
GRiqkPO8,7,1
Sa6oEqxf,7,2
U028Cmqy,4,2
GnNXOaJH,3,2
HGqNvQUF,7,1
tWrQYxgd,1,1
gjX5wB84,7,1
M5qjRGdm,7,1
gKms1pV8,4,1
uf4eNzgm,7,1
MNHTOZIc,5,1
LlMWxSRH,5,1
BPxvjs7d,4,2
OrasTlRu,2,2
j0h9ZUN4,3,2
ZwusDSRt,2,1
jJG6RsEX,1,1
HECmnb03,4,1
4LD3f8JE,4,1
PpyVYQr9,4,1
BMEyhtPn,7,1
jbRE36Fn,2,2
jVtE7dgQ,1,1
B8Zza4fy,1,1
yTr6jVIo,1,1
YmTx419P,3,2
PaRpc82T,1,1
JDGOoNSW,7,2
3B2kdehS,2,1
UWoJ4MbF,1,1
FeBsqZMw,2,1
uzHxdseg,7,1
Tr2wzWYc,1,1
u3bEg7U8,5,1
SIOQ51z8,7,1
yqXiVbar,1,1
pBcUdjmt,5,2
rDFZdKq8,2,1
TjI9Atmx,4,2
LrTExIk9,2,1
TsEHcDqM,7,1
jKBNDJMG,4,2
Va6GFw04,1,1
0ol6pDVt,7,2
USWMLNmA,2,2
HsCkRMGA,3,2
CgPLJqnY,1,1
q3GyARJb,7,1
Mdw4Xc9i,7,1
gncuptlO,3,2
YdexzBMJ,4,1
es0tEdVu,3,2
nEDNMOKg,7,1
ArngPTca,1,1
CEamRQNe,6,1
xukMnHhl,7,2
LRTy0fPs,2,2
XrM4TLH7,2,2
UPEtMNdW,1,1
yxjAucgf,4,1
qbe3FlZU,3,2
HvERuXbM,2,1
BQqToKXd,1,1
m4xXnhby,1,1
MIOxUif0,7,1
a9MJE2Hy,1,1
xsm8NIqo,1,1
9YJq0ylU,2,2
kzC0VrSP,1,1
Bvzj8TZ7,2,2
78dYq3Fa,1,1
Hu09tDOm,1,1
uGKdf1RF,1,1
47TyodeH,7,1
4pVG7EhT,4,2
VlHSgX8E,7,1
RcgCBD8u,1,1
7TUizYAj,2,1
6ndtr1Kb,6,1
j6Rkx93T,2,2
7lkmq9t4,7,1
XabSyY4C,4,2
2LxEfX1O,5,1
71rInX2K,1,1
lhumRQcU,1,1
dX4WOT3E,3,2
ac9MfLD6,2,2
hvHsp8GK,7,1
PtsZL1ro,4,1
9vCcLg7t,3,2
E0bLvgqs,4,1
wH7TpE8U,7,1
KwFUhIOC,2,1
4jspIBTa,4,1
rsuAenCW,5,2
X78wjsC0,7,1
DzBtMj61,7,1
rijuYJX2,1,1
WGuL4HOc,2,1
AWhxkSPU,1,1
79MKtvls,1,1
TyabrzGL,2,1
DOf2k4Id,5,1
ugPq3DO9,7,1
71u9EJNb,2,1
TkNGPDhf,7,2
Q781Xdqr,6,1
G5WIBYAh,4,2
mu9ogqQB,2,1
LaZ1eOPp,6,1
Izdn4M8J,2,2
OjU1i7pH,4,2
LbInKgUp,7,1
MsEjglxh,5,1
fFSnpHVO,7,1
qUG7WYdB,1,1
8dzxymfW,3,2
OoCaK2er,7,1
PSk4NhMw,5,1
WRLbXwqy,7,1
9z5EuwYk,1,1
jkDGw1Xe,3,2
jvY8o5G3,4,2
a8sjgFeo,1,1
6gxeij8U,2,2
DQtZyalg,7,1
xRYyPnmt,1,1
KMiSuelA,1,1
5zP3c2Tu,5,1
hUvbO5uf,1,1
49qSzIQV,1,1
MUZK4o7V,3,2
8iRXNAOl,5,1
9lhPw2kj,7,1
TWRXP5IJ,7,1
jn8A9ur0,7,1
NqfB6w7M,5,1
trvQBdPG,1,1
7mj0dbyr,1,1
cmbUneMh,4,1
oegKxSTa,7,1
IoRUvLSs,7,1
YBdtUKEi,7,1
qflzHFSQ,7,2
qUBAQnXx,1,1
UBHW2d4N,4,2
ohTWFDfV,1,1
2UykdML0,7,1
Bu1NcGkx,7,2
TBJPpIEH,3,2
FgB9Di72,1,1
fdoFeIc2,1,1
lvJZTq2P,1,1
Cpi4hO60,7,2
Luy78GMs,3,2
Hc4695S8,1,1
nFpMxVvy,4,1
XM4CmuHV,2,1
qoJcfhsg,4,2
reUJRaoc,3,2
HqIElsaf,5,1
TpUMcuwB,1,1
1gek7MPG,3,2
iEXZ5bT0,7,1
FT7Ehy9v,7,1
SwLqfyDk,2,1
MWT4ldUE,7,1
5upaSjlR,1,1
PvfcUW5e,4,2
795sRLar,1,1
fJSQorsb,1,1
IALCxTk5,1,1
1Rv2d3FH,3,2
G2wZieXy,7,1
3EkcgKev,3,2
O1aT3nFL,5,2
thUKm0pH,2,1
joqfK580,3,2
rw57u2Ll,7,2
FaQErjq3,1,1
mTz0S8lq,5,1
R6vdklgA,1,1
mbDTPLfx,2,1
YMfDJhZs,7,1
SwFif3Hd,1,1
JTguUkl6,2,1
diujDVQP,5,2
tdLGnEKC,1,1
DedkNTnX,7,1
heZOv9mg,4,1
7V2oKaZQ,4,1
cTtLhD4J,7,1
FrYahT49,7,2
P3mEqo5W,5,1
x3WmncQX,7,1
TkCZUH6N,7,1
bkEcOKPM,2,1
qdoikuva,7,1
6tmTb9LQ,1,1
vOEn7ckB,1,1
4KrGaZOI,2,2
2p7T8LZP,2,1
fke7ViPg,1,1
keS8jwhy,7,2
UHj95Ql7,7,1
T2eEXkVc,3,2
ypxNtfm0,1,1
rkSXRDAt,5,1
URTyfZkn,1,1
y0IZDstv,1,1
i9OHdQg4,7,1
h2K8amOt,2,1
wQMo0j4R,7,1
ODM29nlC,7,1
J6QPqlxt,6,1
ZfHztKLR,3,2
Gvbdzmi4,1,1
ba5DJMiY,4,2
zgZVRm0J,4,2
KtxMCwWE,2,1
vc72805e,1,1
WDhyE9nJ,1,1
YW2hBAOL,1,1
8soeUTVR,7,1
atAJi37B,7,2
dXv630Ta,1,1
d4XUk3ct,3,2
PliXE8pt,7,1
9XSi6rdx,3,2
Z6TRxN2S,1,1
JBQj6IRF,7,1
YG8uTCWM,1,1
ICPMyJHS,2,1
WvXR1ucN,7,1
iEOZ82rC,3,2
lcago7ku,4,1
N3v6nI4O,1,1
KX4duLTq,1,1
BpMmxhdX,5,1
G8lx4qnw,4,2
MbIvpF1u,7,2
zLADKBQi,6,1
arxvPn4c,7,1
g8ZNL2sB,7,1
eVH0MGzs,5,1
FtX1ahci,1,1
cgvzUr6G,7,1
NZJmACxv,7,1
SYL12Ejw,1,1
7RL5neEw,7,1
zYdsOPv2,1,1
I640jNOq,1,1
uwLitc9q,4,1
9RoDA8ie,2,1
6uw7HG9M,2,2
fhljQvec,6,1
pVY06FIW,1,1
Z65ltnNu,1,1
RunxQH5t,1,1
dlDHUCGB,4,2
XDjeHTQR,1,1
79vcRtpk,1,1
zuO6vUGr,2,1
rtCmpiod,7,2
zP312WTM,4,1
zoMWbwCF,1,1
uE2rYylj,4,2
a92HJwG4,4,1
d0uDJ9vT,2,1
bT16vGHV,1,1
nb6v7lAs,1,1
WyDE7m0o,5,1
hrC1X7kw,1,1
ksiC3bQX,7,1
nS87NAuT,7,2
1FgDP4Kd,1,1
mBjAngpI,1,1
NPsT7SCo,1,1
e8BDJthE,3,2
w5MBgGUA,7,1
BJqFY5Ce,1,1
GhlBj7nb,7,1
m50zQT1C,4,1
PWVwgxE1,4,2
mSdHrMp5,5,1
3sZVxCqw,2,1
TpqvXbUu,6,1
BtzZLKnq,4,1
vtzVQrl4,4,1
a2CS5Hh8,4,2
GnBVqiLg,2,2
rbjAq1Md,7,1
sUPlapeF,5,1
P34uJ0iH,1,1
LVEDIubx,7,1
grXQ6vwR,7,1
Q2sfVeEn,1,1
9zAf0hvK,7,1
H0N7FbMx,2,1
4R8SDtAo,4,1
fCoTE5R4,2,1
buF7xpUJ,6,1
3LigXJMK,1,1
6I789sCX,3,2
D0hJwA2T,4,2
xJAt2B4s,2,1
lFrRuXNA,4,2
jfVdAQrn,2,1
t8MQ9RAx,7,2
YIhF24k7,1,1
zcgHX5R0,2,2
GFWxfjRd,1,1
SicOKsNT,3,2
Khyz9Vow,6,1
RtZ2TnN8,5,1
x2M4bGqB,2,1
mr1W9klL,7,2
tw4qrU8c,4,2
taPxUlm7,6,1
w0zrbPXC,7,1
KBXxSWem,2,1
q1Q6kCAi,1,1
OAjbeYQK,5,1
wT4YVC2t,1,1
nBRpLWAQ,4,2
OqdGSL79,1,1
0FJYhmpw,7,2
MaVTdGlm,6,1
2mdsOPyB,3,2
skEDf1X9,7,1
6Yhmvkoy,4,2
4w8zuHfI,2,1
zlP42HFo,7,1
Hi489FAP,7,2
0NIRl2T7,1,1
ESVNOlv3,1,1
6VaG9i3k,6,1
utGd2yB5,7,2
w1dge7mu,7,2
3aF7qHBU,6,1
vzPn14YW,3,2
CbFi0Qr1,2,2
2HNojqhb,1,1
ydimVtz4,2,1
8uHbrzgv,1,1
Z61yVNA4,1,1
zisEIlUe,1,1
aGLJiZsM,7,1
Wg3frmEi,1,1
yQnGxTRa,1,1
SktBU5Lw,5,1
pD6vyKHd,1,1
9pQsYkyt,7,1
Cb5gzMXj,7,1
HG5lj6uz,2,1
JSeThbH2,1,1
o9TpJnQb,7,1
etxyhuj7,1,1
U8SAePMJ,4,1
Lc3E4rnl,1,1
rFUQX65g,1,1
r3fMluJL,5,1
BwxGWm85,1,1
P9fZFoMU,1,1
Lv06YD5e,7,1
kdrEGjBa,4,2
C2tRqnNM,7,1
roxPeRJC,7,2
YcC0KD2H,4,2
jUuqem4p,2,2
lIhL6fYt,7,2
zQV9AKNy,4,2
ldzLvyVZ,5,1
8fZxuCNG,5,1
oCJ8AfSh,4,2
ENFkqATX,4,1
2KPQrip3,5,1
HRkM4JAQ,1,1
50o3GpM1,2,2
l8qkt4Uv,1,1
sjFdQgTp,5,1
KE89lvx5,5,2
Eyen8kW2,7,2
ue8RangK,2,2
3adxbW1e,1,1
yWgGsozd,4,1
I7JyqGWf,4,1
Df1cWedn,5,1
pgRCXrNQ,1,1
Rl2svWun,1,1
goEAKD5p,7,1
jMQ2h48c,7,1
Otdn34ZV,5,1
CoEAFWT6,2,1
cyCsDpYk,1,1
m28sKqNF,1,1
mLHPl0Ju,1,1
hiRCXPDK,7,1
Ucs9SfWb,2,1
kbXGATou,1,1
gTqHtexE,3,2
xGql3W19,4,2
pxmVO3G6,5,1
sgwA7CZD,3,2
PbXinQoJ,5,1
ivf8SP1p,1,1
P21OJDkv,7,2
fneINhzl,1,1
DbOEw4xI,5,1
mQz5h04K,4,2
fFToVjkR,7,1
2FjQwRGI,2,1
9JnMoz2G,1,1
Qu5s2Yy9,5,1
civ7H1jp,1,1
dgpBmRxk,4,2
Hi0wARBm,7,2
nWrqp7iD,5,1
Gkn3XBhr,1,1
jUIz2cXB,4,1
J6oXh8rV,4,2
HzKiBrPR,1,1
Xv16BayE,1,1
sIYoPUba,2,1
lc1sCrgm,4,2
Mlv7dWkC,1,1
H9deqAUK,5,1
gpOJrz1i,2,1
hwKPlc09,2,1
dyLi03j9,3,2
hb8pUQHm,4,2
oj8etFcz,1,1
uvcyidB1,2,1
Wego6yXV,1,1
QjwtHY5W,1,1
paiLUrAG,1,1
j04NpIAZ,6,1
LKOgPihv,5,1
q4wSRrco,6,1
95q6R1XM,4,2
i6jRCFNo,1,1
3iNOq69b,5,1
Q9qAaZSU,2,1
4xqdYJ29,1,1
Xz1FnvTD,3,2
cSy7BbsO,1,1
osaUb2Mp,7,1
Hg6FPIW2,4,2
TLmwGirQ,2,2
cFi4Cv50,7,1
kxrFfL7D,1,1
omvZkgiS,1,1
Lyh9zICH,2,2
Zp5mNTVs,7,2
nIWBGZ5Y,4,2
7qed45zR,3,2
xQeSIANu,7,2
V3Aac75y,2,1
iWatXBNu,2,1
HO1XLdyl,7,1
n8vMsJbT,5,1
Ew6g84NR,1,1
19r2pGDI,4,2
CF3ZiIaz,7,1
7FbMKjA9,2,1
PKNHrTSy,2,1
hT0o4NbC,2,2
GRDtTLAh,1,1
zg7kaBIe,1,1
HvG5wAMU,7,1
A6IqrNRZ,1,1
VlAKZEN0,7,1
rJgliyXj,1,1
YhX0HFcI,1,1
ZMeP4zyX,1,1
M0c2SobL,7,1
eNo4Mm7r,4,2
C4ecLnFo,7,1
j8NMpPxq,5,2
gUE8DZjY,6,1
XmzadDkV,1,1
V3QDAkWq,1,1
XliuzIkC,2,1
S6wR38BZ,5,2
SU2BrkPj,1,1
sVNpf3DP,7,1
HJ9Qmkc8,1,1
Ew0FrV7M,5,1
kWpo6QCr,7,2
BMhedSxH,6,1
92JWQgKy,1,1
zGesFPpW,1,1
RkENQbd8,1,1
YmIu8F3g,5,1
y5C2jWdP,7,2
Cn73bpRe,1,1
T7ujg8Rd,4,2
cPkzlSRQ,7,1
c9LbponC,7,2
b5hnBJAr,7,1
rEixBjJ1,1,1
9wlf0RHk,1,1
FPTgQkfv,2,1
hw31FbH5,3,2
7vGdWqLR,1,1
53AjiMdn,2,1
eVL8nljS,1,1
d2LD81jb,1,1
V5gTXvoF,2,1
ftoyPqId,1,1
JEAfzIcU,1,1
bHyIE1C4,2,2
YiAvZLkt,3,2
psM3SKtq,2,1
rQOhzgUn,7,1
v9AC5J0d,3,2
DseNUQ2O,7,1
WVNMRlj9,7,2
5fIJrDuh,7,1
cdOhMNiz,7,1
apo7fTIx,4,1
HK1IY0XA,1,1
LQc6iI49,1,1
b5RxtL89,1,1
f2nKzug0,4,2
yQ5GIxJr,7,1
0nZXhJad,1,1
DCB4gfIo,7,1
XGObNoze,4,1
pr2JC5Kz,5,1
bwa4rX81,7,2
YWMskBE9,5,1
WVwgmJHl,1,1
CKIVsak6,2,2
XmVvZKj0,7,1
k0UIHFrd,4,2
3VLen76Q,1,1
QO90GEyk,3,2
sQESx0WL,4,2
LogwslIa,5,1
jxHKePrb,1,1
dK17vfoG,4,2
EcvON9Ll,7,1
pm3wkigX,1,1
ofncMpaw,5,1
XSQyzV4s,5,1
1QcKzSwA,1,1
NxErCKGS,5,2
62Polv9x,5,1
cy8xFikW,7,2
NkcYPO43,4,1
9C1EFkb0,7,1
z1U6YfGA,1,1
MNDF6GZr,1,1
Ug7rXm2P,7,1
kqIexFJU,1,1
gB3QKpZL,1,1
7XtLQ3sc,1,1
GSlo2Luh,3,2
WExzsNbC,1,1
LyrXD8p6,4,2
wJmFVSPW,2,1
Ivla1CuB,7,2
7HD9GSp5,2,1
0cYwNiLB,5,1
59YoxjH7,5,2
uirDK8xY,1,1
ao57XQPb,1,1
xPolbeNg,1,1
QYpUh1tA,7,1
gMHRzy3W,3,2
tyfEGaHQ,4,2
QM9Fbt1r,3,2
7KjrV56H,7,1
Fo1OMutG,7,1
Urxv6KdZ,2,1
xOpUKmEt,2,1
rWyCLbOI,3,2
YmcX1kty,4,1
DLUaM5m1,2,1
TPL2je1B,2,1
BGFiV6qy,2,1
UWgn16DG,7,1
cRH5eAtM,2,1
JOvh68LU,7,1
pNC31fqs,5,1
Ylz60uPc,1,1
Ez5X9wYS,4,1
o52k0fTz,7,1
wKx8biA1,5,1
adizZ12T,1,1
wToSsjxz,1,1
6F89A5Wa,7,1
nzxos6tb,1,1
8nEDrYTK,4,1
bEJ54Z7t,7,1
Lbu0G9An,1,1
wtmWRCSe,4,2
PuWfSv3y,5,1
l91ersH2,7,1
TncH1dJa,4,2
oRv5pkEa,7,1
OWfeP062,4,2
HMacG2qF,5,1
MtP39cI8,6,1
LUizuSnY,3,2
esTnACHr,7,1
L1Gn2oIS,5,1
41kB2VrF,1,1
SJV09RtL,1,1
bCtH9nRr,7,1
pDSgeZG0,2,1
8GTjgEAO,1,1
wh5vPKSg,1,1
nAJEx6Ke,1,1
iRXc1aUA,1,1
OHtWXU6K,4,2
vF9zjV18,1,1
rSPncZgj,4,2
mqRX5Mzu,4,2
FlDsJq6P,7,1
yN5oldQm,2,1
p61qLlPE,3,2
2nF0JYTr,4,2
alup58XC,4,1
ITOJjUZh,7,1
pX8FdmkZ,3,2
xfunCaN9,4,1
MplgBKst,4,2
rWInbJle,2,1
SfbwD0Vz,6,1
ulWZRhs1,1,1
RXhGf7ny,6,1
cQjwWxo7,7,1
nKt1IUZR,1,1
qFHGLCPY,4,2
WuF4KPZM,7,1
6pLhdfTM,4,2
QwuhHZgs,7,1
hVGKcS38,3,2
Ar2wcyLz,5,1
SJ3cRVLj,4,1
54ke7VLc,1,1
NXqsVHzt,5,1
MwkFeGfN,1,1
e9N8yhaG,4,2
FlYo1JLP,7,1
YJyq5eLO,2,1
evXESb1q,2,1
vNCh9Gyf,3,2
REvftawx,4,2
6MOKbrxH,3,2
cB5PwDzU,4,2
Q7TUOu2A,5,2
kqjFh81m,1,1
UZHStYDN,7,1
R9M1HteI,7,1
nFLErMJD,4,2
B7S4t05y,1,1
R7bNE9W6,2,1
B1qGwMXN,7,1
XqFEwxus,2,1
fmnJpL98,7,1
VL7vYDsc,7,1
W5Toe2H6,1,1
eVSgXsH6,7,1
Gv79kniA,4,2
dC7slkoS,4,2
wHM3fE5z,3,2
3gBPVfoL,7,1
1EqG2TNe,2,2
7mLYPSVD,1,1
M0T8xfjE,2,2
ud4yDhjb,7,1
Nd6X5lvi,7,1
Et9LVGDc,5,1
ZoDbGYm5,1,1
LP8pTWou,4,2
FY5zaudP,7,1
Mq4pd7Ck,1,1
HSjJQd3o,7,1
MCrOyvfE,7,1
i8MJwPDs,5,1
JlW8CX4n,4,2
Vo9SmTeG,3,2
CZ0vWyrD,5,1
8AYEKSzt,2,1
gbh86kpe,1,1
0mgyOBx4,6,1
EWxRXKV6,3,2
Nl5nMC0j,5,1
Swn7CZyB,1,1
AXB3OPKs,7,1
J4CLBOvg,5,2
W8Ix5rqB,2,2
TMnSCfpv,4,2
Ty4NOda0,4,1
jhsGCWDY,4,2
NEJcli7y,2,1
JZay9pnI,4,2
th97GDoy,2,2
qHt682gF,6,1
8VTEHnr0,4,1
CiBaWykD,1,1
6iacTr2X,1,1
y96TgPDA,7,2
lR0H8U9Q,7,2
ySPa4hQW,7,1
Jugojzeq,7,1
4uqP9pN3,4,2
DURqMPF3,7,1
fVYl3Bkj,7,1
I08nv3oK,1,1
8wIyRnX2,1,1
jBiq94lk,1,1
oB1PaIdk,5,1
AwxJMyWm,1,1
TrwnpP8y,4,2
JqY6MkED,3,2
fO8rk0Gl,1,1
wNi9fKZQ,1,1
Uw2A9FQP,2,1
RjzTtJhG,7,1
NZh24tkK,4,2
I6ucPshW,4,1
GWcsgbKT,5,1
HsizSJtd,3,2
Vhxds91P,1,1
IBytlio5,2,2
yOhoea0t,5,1
0mF8nxsS,7,1
VFzrO3kj,1,1
Ws9KlNLD,7,1
pJNazRFd,7,1
3apLETno,2,1
9YMHWJhx,1,1
SNjUOYt8,7,1
cxJIQblz,3,2
EscgzZrK,2,1
Lk7NJR1D,2,1
MI9VctRa,2,1
bVSj1dPf,4,1
erlXEpiO,2,2
jcBlw0kH,1,1
bWfF7Gn5,4,2
Ztnzq5HB,1,1
SeqmytT0,3,2
QjI9ckz4,2,1
KlwAmt4E,1,1
ImU7rjR1,1,1
vt1ryojg,7,2
KbYmgoyH,1,1
YVkbLIFX,5,1
Hr6cP85E,7,1
eKQbj4Lo,4,1
PzfUmR0p,2,1
OfrY7ybT,2,1
hq34Y7yC,7,1
XJrPiFSH,1,1
PsVMHjuL,1,1
8EMSJutx,4,1
9x7IQghd,1,1
Wz2GXIbH,1,1
2AuU8Lhm,1,1
OotxlvUj,1,1
y9wSZ8Gn,4,2
mfjE3pTr,1,1
TDE9ecpQ,2,2
FLsh379y,4,1
2VzUWtTE,5,1
mhnpzkJY,4,2
zxi953FG,7,1
zD7fK3de,7,1
8tXG19nW,1,1
VMNgikot,1,1
futgloWO,1,1
MWZ1duRC,1,1
9rUYlVcK,4,2
gXzo3HnO,2,1
ewRsNQzZ,7,1
ZecPRJrz,7,1
1GeyqLSN,1,1
MmLxCyek,7,1
n2dFBX9P,1,1
IpabUn9t,1,1
w5WVERjI,2,1
l879dmzy,1,1
lBjnNkJs,7,2
9bBzYsdW,3,2
MvWoTEw6,4,1
oJPy7FgZ,7,1
InpDsV67,1,1
tzuncA4o,4,2
5iqKBruE,1,1
alAx7qvr,2,1
wXBp1kli,4,1
N4aIofrX,3,2
89eKDorx,7,1
UTZlgAaM,7,1
BpfcnaNR,1,1
W3klRL8E,6,1
EjTCa5Lw,1,1
2Ikq0O1o,2,1
pmhN0zYS,4,1
LiQ1WhV6,5,2
T30r5QVn,4,1
Qh0xopWR,4,2
qekaMY0g,7,1
B2IiAwlW,1,1
GMK4SYu0,1,1
4AT5HkFo,4,1
yYtgrLuI,1,1
MFNxOkd3,7,2
e1fb9WyM,2,1
iAVo48Oz,7,1
Xki354Rl,6,1
78DKpSzr,1,1
QZNcW0rp,2,2
OwHICzjS,7,2
HjDh5q4Q,4,2
PNBLv7ut,2,2
le2xFiA9,2,2
742x90yq,4,2
qFrNfaiY,1,1
YJdiy6xC,5,2
E065grDs,2,1
BaXcl9Dv,1,1
xQZqfnTk,4,2
rd2lZoxk,7,2
FCNHAo04,1,1
HwbryTf1,1,1
B4fHM1j6,5,1
6MqHjLAx,7,1
y79S1ge4,7,1
pwfMAeEQ,2,1
G1Zz4IhN,5,1
x0S7gtzu,7,1
8rLWSpkC,1,1
DUNPg9Em,1,1
QGXJuag8,7,1
AhniZNBx,7,1
urvlcF6C,4,2
fXi6USQy,3,2
xK9agv1m,1,1
MP9YRd4h,5,1
H5VkmJNg,1,1
rFMBh4Gg,1,1
F0xb1NUV,5,1
8rMRP3Uu,1,1
Pb71ENFt,1,1
teOhzGbD,1,1
9u1LcYeq,7,1
7Is9d03p,7,1
gRI5jMHs,7,1
YutpbfeO,1,1
pPn4BOWQ,7,1
RnxDFAQG,1,1
EW9Dprmq,4,2
lDjaHwNp,7,1
KO6VPAJd,3,2
ldBWqJy2,4,1
wu1YJ4cE,4,2
bVTF8U0t,4,1
iqCIBWHw,2,1
jxqzsSFI,3,2
c6oA1ygD,3,2
